<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MO.US,D,19700102,000000,0.01615,0.01615,0.01615,0.01615,15613167,0
MO.US,D,19700105,000000,0.01615,0.01615,0.01615,0.01615,9844755,0
MO.US,D,19700106,000000,0.01615,0.01615,0.01615,0.01615,7691215,0
MO.US,D,19700107,000000,0.01615,0.01615,0.01615,0.01615,36533279,0
MO.US,D,19700108,000000,0.01615,0.01615,0.01615,0.01615,30072655,0
MO.US,D,19700109,000000,0.01615,0.01615,0.01615,0.01615,43455370,0
MO.US,D,19700112,000000,0.01615,0.01615,0.01615,0.01615,33533702,0
MO.US,D,19700113,000000,0.01615,0.01615,0.01615,0.01615,20304808,0
MO.US,D,19700114,000000,0.01615,0.01615,0.01615,0.01615,21381582,0
MO.US,D,19700115,000000,0.01615,0.01615,0.01615,0.01615,9152546,0
MO.US,D,19700116,000000,0.01615,0.01615,0.01615,0.01615,15536256,0
MO.US,D,19700119,000000,0.01615,0.01615,0.01615,0.01615,4768556,0
MO.US,D,19700120,000000,0.01615,0.01615,0.01615,0.01615,7383568,0
MO.US,D,19700121,000000,0.01615,0.01615,0.01615,0.01615,4845468,0
MO.US,D,19700122,000000,0.01615,0.01615,0.01615,0.01615,12690508,0
MO.US,D,19700123,000000,0.01615,0.01615,0.01615,0.01615,8767985,0
MO.US,D,19700126,000000,0.01615,0.01615,0.01615,0.01615,21304667,0
MO.US,D,19700127,000000,0.01615,0.01615,0.01615,0.01615,7614307,0
MO.US,D,19700128,000000,0.01615,0.01615,0.01615,0.01615,8921806,0
MO.US,D,19700129,000000,0.01615,0.01615,0.01615,0.01615,23304382,0
MO.US,D,19700130,000000,0.01615,0.01615,0.01615,0.01615,11921383,0
MO.US,D,19700202,000000,0.01615,0.01615,0.01615,0.01615,6306795,0
MO.US,D,19700203,000000,0.01615,0.01615,0.01615,0.01615,9152546,0
MO.US,D,19700204,000000,0.01615,0.01615,0.01615,0.01615,4383995,0
MO.US,D,19700205,000000,0.01615,0.01615,0.0108,0.0108,66990501,0
MO.US,D,19700206,000000,0.0108,0.01615,0.0108,0.0108,12690508,0
MO.US,D,19700209,000000,0.0108,0.01615,0.0108,0.01615,40917277,0
MO.US,D,19700210,000000,0.01615,0.01615,0.01615,0.01615,8998722,0
MO.US,D,19700211,000000,0.01615,0.01615,0.01615,0.01615,8075775,0
MO.US,D,19700212,000000,0.01615,0.01615,0.01615,0.01615,15690085,0
MO.US,D,19700213,000000,0.01615,0.01615,0.01615,0.01615,6229878,0
MO.US,D,19700216,000000,0.01615,0.01615,0.01615,0.01615,7845041,0
MO.US,D,19700217,000000,0.01615,0.01615,0.01615,0.01615,12305946,0
MO.US,D,19700218,000000,0.01615,0.01615,0.01615,0.01615,11613735,0
MO.US,D,19700219,000000,0.01615,0.01615,0.01615,0.01615,12229033,0
MO.US,D,19700220,000000,0.01615,0.01615,0.01615,0.01615,10075494,0
MO.US,D,19700224,000000,0.01615,0.01615,0.01615,0.01615,12613592,0
MO.US,D,19700225,000000,0.01615,0.01615,0.01615,0.01615,4999289,0
MO.US,D,19700226,000000,0.01615,0.01615,0.01615,0.01615,5153118,0
MO.US,D,19700227,000000,0.01615,0.01615,0.01615,0.01615,11844475,0
MO.US,D,19700302,000000,0.01615,0.01615,0.01615,0.01615,6152974,0
MO.US,D,19700303,000000,0.01615,0.01615,0.01615,0.01615,2384274,0
MO.US,D,19700304,000000,0.01615,0.01615,0.01615,0.01615,15228603,0
MO.US,D,19700305,000000,0.01615,0.01615,0.01615,0.01615,11306092,0
MO.US,D,19700306,000000,0.01615,0.01615,0.01615,0.01615,9614020,0
MO.US,D,19700309,000000,0.01615,0.01615,0.01615,0.01615,4999289,0
MO.US,D,19700310,000000,0.01615,0.01615,0.01615,0.01615,23842777,0
